,precision,recall,f1-score,support
Actualidad,0.0,0.0,0.0,18.0
Deportes,0.770949720670391,0.8414634146341463,0.8046647230320699,164.0
Economía,0.5875,0.5108695652173914,0.5465116279069767,92.0
Entretenimiento,0.0,0.0,0.0,1.0
Espectáculos,0.825,0.4925373134328358,0.616822429906542,67.0
Mundo,0.6304347826086957,0.7310924369747899,0.6770428015564203,119.0
Noticias,0.16666666666666666,0.05555555555555555,0.08333333333333333,18.0
Política,0.6213592233009708,0.6213592233009708,0.6213592233009708,103.0
Portada,0.3146067415730337,0.509090909090909,0.3888888888888889,110.0
Publicación,1.0,1.0,1.0,6.0
Sociedad,0.6229508196721312,0.7125,0.6647230320699709,160.0
Últimas Noticias,0.675,0.28125,0.39705882352941174,96.0
accuracy,0.60062893081761,0.60062893081761,0.60062893081761,0.60062893081761
macro avg,0.5178723295409907,0.47964320151721657,0.4833670736270488,954.0
weighted avg,0.6109657924957587,0.60062893081761,0.5900318558715412,954.0
